轮数,主队,客队,主队积分,客队积分,主队排名,客队排名,威廉希尔1,威廉希尔2,威廉希尔3,威廉希尔4,威廉希尔5,威廉希尔6,立博1,立博2,立博3,立博4,立博5,立博6,澳门1,澳门2,澳门3,澳门4,澳门5,澳门6,盘,主队得分,客队得分
7,布赖顿,哈德斯,8,16,13,1,2.00,3.20,3.20,2.00,3.20,4.20,2.05,3.30,3.60,1.91,3.25,4.20,0.960↑,半球,0.860↓,0.820,半球,1.000,赢,1,0
7,德比郡,伊普斯,5,8,19,15,1.67,3.50,4.20,2.00,3.25,4.00,1.85,3.40,4.33,1.91,3.30,4.33,0.940↑,半球,0.880↓,0.820,半球,1.000,输,0,1
7,富勒姆,伯 顿,11,8,6,14,1.83,3.20,2.87,1.95,3.20,4.20,1.75,3.60,4.50,1.85,3.50,4.00,0.860↑,半球,0.960↓,0.840,半球,0.980,输,1,1
7,狼  队,巴恩斯,9,12,12,3,1.73,3.40,3.50,2.00,3.25,4.00,1.91,3.60,3.80,1.95,3.40,3.80,0.960↑,半球,0.860↓,0.940,半球,0.880,输,0,4
7,雷  丁,伯明翰,10,11,11,4,2.10,3.20,2.30,2.10,3.20,3.60,2.00,3.30,3.80,2.05,3.25,3.60,0.820↓,平手/半球x降,1.000↑,0.980,半球,0.840,输半,0,0
7,维  拉,布伦特,6,10,19,11,1.73,3.40,4.00,1.73,3.80,4.50,1.80,3.60,4.33,1.70,3.75,5.00,0.960,半球/一球,0.860,0.960,半球/一球,0.860,输,1,1
7,罗瑟汉,诺丁汉,5,10,22,13,2.62,3.20,2.30,2.80,3.40,2.45,2.70,3.40,2.50,2.80,3.30,2.50,1.020↓,平手,0.800↑,1.040,平手,0.780,走盘,2,2
8,加的夫,利  兹,5,7,22,18,2.15,3.25,3.50,2.25,3.10,3.40,2.05,3.30,3.60,2.30,3.25,3.10,1.160↑,半球,0.660↓,1.080,半球,0.740,输,0,2
8,巴恩斯,雷  丁,15,11,3,12,2.25,3.30,3.20,2.25,3.20,3.30,2.40,3.25,2.90,2.50,3.25,2.80,1.080↑,平手/半球,0.740↓,0.940,平手/半球,0.880,输,1,2
8,伯 顿,布赖顿,9,11,15,7,3.50,3.25,2.15,3.75,3.10,2.10,3.50,3.30,2.10,4.20,3.30,1.91,0.920↑,受半球,0.900↓,0.780,受半球,1.040,输,0,1
8,布莱克,罗瑟汉,2,6,24,20,2.15,3.30,3.40,2.10,3.25,3.60,2.05,3.40,3.50,2.00,3.25,3.50,0.740,平手/半球,1.080,0.740,平手/半球,1.080,赢,4,2
8,哈德斯,巡游者,16,10,1,14,2.05,3.25,3.80,2.00,3.25,4.00,2.15,3.25,3.50,1.95,3.30,4.20,0.600↓,平手/半球,1.220↑,0.740,平手/半球,1.080,赢,2,1
8,诺丁汉,诺维奇,11,14,10,4,3.10,3.30,2.30,3.40,3.10,2.25,2.88,3.30,2.40,3.20,3.50,2.15,0.900,受平手/半球,0.920,0.900,受平手/半球,0.920,输,1,2
8,布伦特,普雷斯,11,6,8,19,2.15,3.25,3.50,2.25,3.10,3.40,2.05,3.25,3.75,2.20,3.25,3.30,0.880↑,平手/半球,0.940↓,0.840,平手/半球,0.980,赢,5,0
8,维  冈,富勒姆,4,12,23,6,2.50,3.30,2.80,2.62,3.10,2.80,2.40,3.25,2.90,2.50,3.25,2.80,1.160↑,平手/半球,0.660↓,1.080,平手/半球,0.740,输半,0,0
8,布里斯,德比郡,10,5,13,21,2.62,3.25,2.70,2.50,3.10,3.00,2.75,3.30,2.50,2.62,3.20,2.70,0.800↓,平手,1.020↑,0.860,平手,0.960,走盘,1,1
8,伊普斯,维  拉,11,7,9,17,2.87,3.20,2.50,2.80,3.10,2.60,2.50,3.20,2.80,3.10,3.00,2.40,0.910↓,平手,0.910↑,0.980,平手,0.840,走盘,0,0
8,纽  卡,狼  队,15,9,2,16,1.61,3.80,5.50,1.44,4.20,7.50,1.83,3.50,4.33,1.50,4.00,6.50,0.860↑,一球x升,0.960↓,0.760,半球/一球,1.060,输,0,2
8,伯明翰,谢周三,12,11,9,14,2.87,3.20,2.50,2.80,3.10,2.62,2.90,3.20,2.50,2.90,3.10,2.50,1.000,平手,0.820,1.000,平手,0.820,赢,2,1
9,普雷斯,维  冈,6,5,19,22,2.45,3.10,2.80,2.50,3.25,3.00,2.40,3.30,2.90,2.40,3.25,3.20,1.060↑,平手/半球,0.760↓,1.040,平手/半球,0.780,赢,1,0
9,诺维奇,伯 顿,17,9,2,17,1.44,4.00,6.50,1.50,4.33,7.00,1.44,4.33,7.00,1.44,4.33,7.00,0.800↓,一球,1.020↑,0.840,一球,0.980,赢,3,1
9,富勒姆,布里斯,13,11,9,12,2.05,3.40,3.25,2.30,3.20,3.40,2.05,3.40,3.40,2.20,3.30,3.30,0.860↑,平手/半球,0.960↓,0.820,平手/半球,1.000,输,0,4
9,狼  队,布伦特,12,14,10,6,2.15,3.30,3.10,2.30,3.40,3.25,2.05,3.50,3.30,2.25,3.40,3.00,0.880,平手/半球,0.940,0.880,平手/半球,0.940,赢,3,1
9,罗瑟汉,加的夫,6,5,21,24,2.45,3.20,2.70,2.90,3.40,2.50,2.30,3.30,3.10,2.90,3.30,2.40,0.760↓,受平手/半球x降,1.060↑,0.900,平手,0.920,输,1,2
9,谢周三,诺丁汉,11,11,14,13,1.75,3.50,4.33,1.73,3.80,5.00,1.80,3.50,4.50,1.73,3.80,4.50,1.160↑,一球x升,0.660↓,0.980,半球/一球,0.840,走盘,2,1
9,德比郡,布莱克,6,5,20,23,1.60,3.50,5.50,1.70,3.60,5.50,1.62,3.60,5.75,1.67,3.60,5.25,0.820↑,半球/一球,1.000↓,0.760,半球/一球,1.060,输,1,2
9,巡游者,伯明翰,10,15,16,5,2.50,3.00,2.80,2.50,3.20,3.00,2.40,3.20,2.90,2.50,3.10,2.90,1.080,平手/半球,0.740,1.080,平手/半球,0.740,输半,1,1
