轮数,主队,客队,主队积分,客队积分,主队排名,客队排名,威廉希尔1,威廉希尔2,威廉希尔3,威廉希尔4,威廉希尔5,威廉希尔6,立博1,立博2,立博3,立博4,立博5,立博6,澳门1,澳门2,澳门3,澳门4,澳门5,澳门6,盘,主队得分,客队得分
17,延边富德,上  港,10,36,16,2,5,4.2,1.53,7.5,4.6,1.35,5.2,4,1.53,7,4.5,1.36,0.980↑,受一球/球半x降,0.720↓,0.84,受一球,0.86,输,1,3
17,北京国安,贵州智诚,22,18,7,11,1.75,3.5,4.33,1.65,3.5,5,1.73,3.5,4.33,1.67,3.4,5,0.800↓,半球/一球,0.900↑,0.84,半球/一球,0.86,赢,2,0
17,辽宁开新,河南建业,13,15,14,12,3.1,3.4,2.1,3.1,3.3,2.15,3.1,3.1,2.2,2.9,3.2,2.25,0.840↓,受平手/半球,0.860↑,0.9,受平手/半球,0.8,输,1,2
17,河北华夏,重庆力帆,29,21,3,8,1.6,3.75,5,1.62,3.8,4.8,1.6,3.5,5.25,1.62,3.6,4.8,0.900↓,一球,0.800↑,1.04,一球,0.66,输,1,2
17,恒  大,山东鲁能,37,28,2,4,1.6,3.8,5,1.6,3.8,5,1.57,3.9,5,1.57,3.9,5,0.820↓,半球/一球,0.880↑,0.86,半球/一球,0.84,赢半,2,1
17,长春亚泰,广州富力,19,24,10,8,2.5,3.3,2.6,2.1,3.4,3.1,2.6,3.3,2.4,2.05,3.4,3.2,0.760↓,平手/半球x升,0.940↑,0.86,平手,0.84,赢,3,2
17,天津权健,上海申花,28,20,5,10,2.05,3.4,3.25,2,3.6,3.2,2,3.4,3.25,2,3.5,3.25,0.760↓,半球,0.940↑,0.8,半球,0.9,赢,3,0
18,贵州智诚,河北华夏,18,29,12,4,2.75,3.3,2.38,2.6,3,2.7,2.88,3.1,2.3,2.6,3,2.62,0.98,平手,0.72,0.98,平手,0.72,赢,4,3
18,苏  宁,辽宁开新,11,13,15,14,1.25,5,11,1.44,4.33,6,1.33,4.6,8.5,1.44,4.25,6,1.000↑,球半,0.700↓,0.84,球半,0.86,赢,4,0
18,重庆力帆,天津亿利,24,15,7,13,1.8,3.5,4.2,1.95,3.25,3.75,1.91,3.2,3.7,1.95,3.1,3.6,0.92,半球,0.78,0.92,半球,0.78,赢,2,1
